YEAR,MONTH,Category,Number
1995,9,NYS Labor Force," 8,662,646 "
1995,10,NYS Labor Force," 8,664,429 "
1995,11,NYS Labor Force," 8,665,220 "
1995,12,NYS Labor Force," 8,667,829 "
1996,1,NYS Labor Force," 8,676,288 "
1996,2,NYS Labor Force," 8,692,038 "
1996,3,NYS Labor Force," 8,713,366 "
1996,4,NYS Labor Force," 8,736,676 "
1996,5,NYS Labor Force," 8,758,880 "
1996,6,NYS Labor Force," 8,779,097 "
1996,7,NYS Labor Force," 8,798,180 "
1996,8,NYS Labor Force," 8,817,324 "
1996,9,NYS Labor Force," 8,836,157 "
1996,10,NYS Labor Force," 8,854,420 "
1996,11,NYS Labor Force," 8,872,559 "
1996,12,NYS Labor Force," 8,891,400 "
1997,1,NYS Labor Force," 8,911,659 "
1997,2,NYS Labor Force," 8,933,963 "
1997,3,NYS Labor Force," 8,958,859 "
1997,4,NYS Labor Force," 8,986,277 "
1997,5,NYS Labor Force," 9,012,356 "
1997,6,NYS Labor Force," 9,033,067 "
1997,7,NYS Labor Force," 9,046,902 "
1997,8,NYS Labor Force," 9,054,149 "
1997,9,NYS Labor Force," 9,056,630 "
1997,10,NYS Labor Force," 9,056,832 "
1997,11,NYS Labor Force," 9,055,815 "
1997,12,NYS Labor Force," 9,054,800 "
1998,1,NYS Labor Force," 9,054,056 "
1998,2,NYS Labor Force," 9,053,560 "
1998,3,NYS Labor Force," 9,052,610 "
1998,4,NYS Labor Force," 9,052,004 "
1998,5,NYS Labor Force," 9,053,944 "
1998,6,NYS Labor Force," 9,059,204 "
1998,7,NYS Labor Force," 9,067,021 "
1998,8,NYS Labor Force," 9,077,075 "
1998,9,NYS Labor Force," 9,088,861 "
1998,10,NYS Labor Force," 9,099,746 "
1998,11,NYS Labor Force," 9,107,113 "
1998,12,NYS Labor Force," 9,109,717 "
1999,1,NYS Labor Force," 9,108,381 "
1999,2,NYS Labor Force," 9,106,298 "
1999,3,NYS Labor Force," 9,106,566 "
1999,4,NYS Labor Force," 9,110,450 "
1999,5,NYS Labor Force," 9,117,406 "
1999,6,NYS Labor Force," 9,126,613 "
1999,7,NYS Labor Force," 9,135,573 "
1999,8,NYS Labor Force," 9,141,542 "
1999,9,NYS Labor Force," 9,143,518 "
1999,10,NYS Labor Force," 9,142,895 "
1999,11,NYS Labor Force," 9,142,965 "
1999,12,NYS Labor Force," 9,145,142 "
2000,1,NYS Labor Force," 9,148,772 "
2000,2,NYS Labor Force," 9,150,933 "
2000,3,NYS Labor Force," 9,149,949 "
2000,4,NYS Labor Force," 9,145,145 "
2000,5,NYS Labor Force," 9,136,838 "
2000,6,NYS Labor Force," 9,126,545 "
2000,7,NYS Labor Force," 9,117,373 "
2000,8,NYS Labor Force," 9,113,416 "
2000,9,NYS Labor Force," 9,116,092 "
2000,10,NYS Labor Force," 9,124,683 "
2000,11,NYS Labor Force," 9,135,828 "
2000,12,NYS Labor Force," 9,145,125 "
2001,1,NYS Labor Force," 9,149,403 "
2001,2,NYS Labor Force," 9,148,011 "
2001,3,NYS Labor Force," 9,141,552 "
2001,4,NYS Labor Force," 9,132,763 "
2001,5,NYS Labor Force," 9,126,617 "
2001,6,NYS Labor Force," 9,125,876 "
2001,7,NYS Labor Force," 9,132,095 "
2001,8,NYS Labor Force," 9,142,544 "
2001,9,NYS Labor Force," 9,154,926 "
2001,10,NYS Labor Force," 9,168,482 "
2001,11,NYS Labor Force," 9,182,280 "
2001,12,NYS Labor Force," 9,197,679 "
2002,1,NYS Labor Force," 9,215,047 "
2002,2,NYS Labor Force," 9,232,774 "
2002,3,NYS Labor Force," 9,249,119 "
2002,4,NYS Labor Force," 9,263,603 "
2002,5,NYS Labor Force," 9,275,952 "
2002,6,NYS Labor Force," 9,286,050 "
2002,7,NYS Labor Force," 9,292,936 "
2002,8,NYS Labor Force," 9,297,709 "
2002,9,NYS Labor Force," 9,301,647 "
2002,10,NYS Labor Force," 9,303,119 "
2002,11,NYS Labor Force," 9,302,259 "
2002,12,NYS Labor Force," 9,298,512 "
2003,1,NYS Labor Force," 9,293,854 "
2003,2,NYS Labor Force," 9,290,354 "
2003,3,NYS Labor Force," 9,286,833 "
2003,4,NYS Labor Force," 9,280,666 "
2003,5,NYS Labor Force," 9,270,558 "
2003,6,NYS Labor Force," 9,259,338 "
2003,7,NYS Labor Force," 9,249,134 "
2003,8,NYS Labor Force," 9,241,539 "
2003,9,NYS Labor Force," 9,238,227 "
2003,10,NYS Labor Force," 9,241,024 "
2003,11,NYS Labor Force," 9,249,302 "
2003,12,NYS Labor Force," 9,258,922 "
2004,1,NYS Labor Force," 9,265,169 "
2004,2,NYS Labor Force," 9,266,727 "
2004,3,NYS Labor Force," 9,300,272 "
2004,4,NYS Labor Force," 9,326,798 "
2004,5,NYS Labor Force," 9,347,739 "
2004,6,NYS Labor Force," 9,363,865 "
2004,7,NYS Labor Force," 9,377,242 "
2004,8,NYS Labor Force," 9,388,436 "
2004,9,NYS Labor Force," 9,396,011 "
2004,10,NYS Labor Force," 9,398,541 "
2004,11,NYS Labor Force," 9,396,294 "
2004,12,NYS Labor Force," 9,394,413 "
2005,1,NYS Labor Force," 9,396,085 "
2005,2,NYS Labor Force," 9,401,262 "
2005,3,NYS Labor Force," 9,409,839 "
2005,4,NYS Labor Force," 9,423,325 "
2005,5,NYS Labor Force," 9,442,291 "
2005,6,NYS Labor Force," 9,463,924 "
2005,7,NYS Labor Force," 9,483,995 "
2005,8,NYS Labor Force," 9,498,246 "
2005,9,NYS Labor Force," 9,505,190 "
2005,10,NYS Labor Force," 9,506,360 "
2005,11,NYS Labor Force," 9,504,409 "
2005,12,NYS Labor Force," 9,500,990 "
2006,1,NYS Labor Force," 9,499,541 "
2006,2,NYS Labor Force," 9,502,227 "
2006,3,NYS Labor Force," 9,508,146 "
2006,4,NYS Labor Force," 9,513,981 "
2006,5,NYS Labor Force," 9,516,161 "
2006,6,NYS Labor Force," 9,513,249 "
2006,7,NYS Labor Force," 9,507,535 "
2006,8,NYS Labor Force," 9,503,367 "
2006,9,NYS Labor Force," 9,503,147 "
2006,10,NYS Labor Force," 9,507,130 "
2006,11,NYS Labor Force," 9,513,238 "
2006,12,NYS Labor Force," 9,517,371 "
2007,1,NYS Labor Force," 9,517,017 "
2007,2,NYS Labor Force," 9,513,343 "
2007,3,NYS Labor Force," 9,507,329 "
2007,4,NYS Labor Force," 9,501,517 "
2007,5,NYS Labor Force," 9,498,541 "
2007,6,NYS Labor Force," 9,499,555 "
2007,7,NYS Labor Force," 9,504,776 "
2007,8,NYS Labor Force," 9,514,662 "
2007,9,NYS Labor Force," 9,528,946 "
2007,10,NYS Labor Force," 9,545,835 "
2007,11,NYS Labor Force," 9,563,786 "
2007,12,NYS Labor Force," 9,581,991 "
2008,1,NYS Labor Force," 9,598,042 "
2008,2,NYS Labor Force," 9,610,400 "
2008,3,NYS Labor Force," 9,620,542 "
2008,4,NYS Labor Force," 9,630,522 "
2008,5,NYS Labor Force," 9,642,282 "
2008,6,NYS Labor Force," 9,657,335 "
2008,7,NYS Labor Force," 9,674,584 "
2008,8,NYS Labor Force," 9,691,204 "
2008,9,NYS Labor Force," 9,704,706 "
2008,10,NYS Labor Force," 9,713,684 "
2008,11,NYS Labor Force," 9,716,531 "
2008,12,NYS Labor Force," 9,712,772 "
2009,1,NYS Labor Force," 9,703,544 "
2009,2,NYS Labor Force," 9,692,579 "
2009,3,NYS Labor Force," 9,684,568 "
2009,4,NYS Labor Force," 9,680,939 "
2009,5,NYS Labor Force," 9,678,652 "
2009,6,NYS Labor Force," 9,674,374 "
2009,7,NYS Labor Force," 9,664,397 "
2009,8,NYS Labor Force," 9,646,808 "
2009,9,NYS Labor Force," 9,624,047 "
2009,10,NYS Labor Force," 9,599,817 "
2009,11,NYS Labor Force," 9,582,339 "
2009,12,NYS Labor Force," 9,578,723 "
2010,1,NYS Labor Force," 9,589,044 "
2010,2,NYS Labor Force," 9,605,948 "
2010,3,NYS Labor Force," 9,621,227 "
2010,4,NYS Labor Force," 9,630,479 "
2010,5,NYS Labor Force," 9,631,529 "
2010,6,NYS Labor Force," 9,623,572 "
2010,7,NYS Labor Force," 9,609,354 "
2010,8,NYS Labor Force," 9,593,332 "
2010,9,NYS Labor Force," 9,577,587 "
2010,10,NYS Labor Force," 9,563,891 "
2010,11,NYS Labor Force," 9,551,431 "
2010,12,NYS Labor Force," 9,539,098 "
2011,1,NYS Labor Force," 9,528,314 "
2011,2,NYS Labor Force," 9,517,986 "
2011,3,NYS Labor Force," 9,506,231 "
2011,4,NYS Labor Force," 9,493,559 "
2011,5,NYS Labor Force," 9,483,635 "
2011,6,NYS Labor Force," 9,480,227 "
2011,7,NYS Labor Force," 9,486,165 "
2011,8,NYS Labor Force," 9,500,945 "
2011,9,NYS Labor Force," 9,521,336 "
2011,10,NYS Labor Force," 9,543,711 "
2011,11,NYS Labor Force," 9,562,510 "
2011,12,NYS Labor Force," 9,574,444 "
2012,1,NYS Labor Force," 9,581,121 "
2012,2,NYS Labor Force," 9,586,612 "
2012,3,NYS Labor Force," 9,591,657 "
2012,4,NYS Labor Force," 9,594,584 "
2012,5,NYS Labor Force," 9,597,583 "
2012,6,NYS Labor Force," 9,602,266 "
2012,7,NYS Labor Force," 9,608,455 "
2012,8,NYS Labor Force," 9,617,913 "
2012,9,NYS Labor Force," 9,631,758 "
2012,10,NYS Labor Force," 9,645,555 "
2012,11,NYS Labor Force," 9,655,584 "
2012,12,NYS Labor Force," 9,659,771 "
2013,1,NYS Labor Force," 9,655,271 "
2013,2,NYS Labor Force," 9,651,505 "
2013,3,NYS Labor Force," 9,651,758 "
2013,4,NYS Labor Force," 9,660,078 "
2013,5,NYS Labor Force," 9,672,985 "
2013,6,NYS Labor Force," 9,685,182 "
2013,7,NYS Labor Force," 9,692,150 "
2013,8,NYS Labor Force," 9,687,837 "
2013,9,NYS Labor Force," 9,671,445 "
2013,10,NYS Labor Force," 9,650,536 "
2013,11,NYS Labor Force," 9,631,855 "
2013,12,NYS Labor Force," 9,617,388 "
2014,1,NYS Labor Force," 9,557,444 "
2014,2,NYS Labor Force," 9,548,508 "
2014,3,NYS Labor Force," 9,540,438 "
2014,4,NYS Labor Force," 9,531,103 "
2014,5,NYS Labor Force," 9,521,124 "
2014,6,NYS Labor Force," 9,514,317 "
2014,7,NYS Labor Force," 9,511,481 "
2014,8,NYS Labor Force," 9,514,182 "
2014,9,NYS Labor Force," 9,521,660 "
2014,10,NYS Labor Force," 9,529,358 "
2014,11,NYS Labor Force," 9,534,612 "
2014,12,NYS Labor Force," 9,540,144 "
2015,1,NYS Labor Force," 9,544,579 "
2015,2,NYS Labor Force," 9,552,949 "
2015,3,NYS Labor Force," 9,561,497 "
2015,4,NYS Labor Force," 9,568,011 "
2015,5,NYS Labor Force," 9,569,402 "
2015,6,NYS Labor Force," 9,563,755 "
2015,7,NYS Labor Force," 9,554,722 "
2015,8,NYS Labor Force," 9,547,385 "
2015,9,NYS Labor Force," 9,545,316 "
2015,10,NYS Labor Force," 9,552,323 "
2015,11,NYS Labor Force," 9,567,364 "
2015,12,NYS Labor Force," 9,582,950 "
2016,1,NYS Labor Force," 9,591,743 "
2016,2,NYS Labor Force," 9,590,442 "
2016,3,NYS Labor Force," 9,579,507 "
2016,4,NYS Labor Force," 9,564,084 "
2016,5,NYS Labor Force," 9,550,935 "
2016,6,NYS Labor Force," 9,543,083 "
2016,7,NYS Labor Force," 9,539,996 "
2016,8,NYS Labor Force," 9,539,455 "
2016,9,NYS Labor Force," 9,539,105 "
2016,10,NYS Labor Force," 9,536,267 "
2016,11,NYS Labor Force," 9,531,775 "
2016,12,NYS Labor Force," 9,529,163 "
2017,1,NYS Labor Force," 9,530,913 "
2017,2,NYS Labor Force," 9,537,224 "
2017,3,NYS Labor Force," 9,545,838 "
2017,4,NYS Labor Force," 9,555,504 "
2017,5,NYS Labor Force," 9,564,471 "
2017,6,NYS Labor Force," 9,570,659 "
2017,7,NYS Labor Force," 9,572,659 "
2017,8,NYS Labor Force," 9,568,287 "
2017,9,NYS Labor Force," 9,557,643 "
2017,10,NYS Labor Force," 9,543,205 "
2017,11,NYS Labor Force," 9,527,547 "
2017,12,NYS Labor Force," 9,513,789 "
2018,1,NYS Labor Force," 9,505,817 "
2018,2,NYS Labor Force," 9,506,088 "
2018,3,NYS Labor Force," 9,512,599 "
2018,4,NYS Labor Force," 9,518,802 "
2018,5,NYS Labor Force," 9,520,394 "
2018,6,NYS Labor Force," 9,518,221 "
2018,7,NYS Labor Force," 9,514,970 "
2018,8,NYS Labor Force," 9,515,399 "
2018,9,NYS Labor Force," 9,521,482 "
2018,10,NYS Labor Force," 9,531,730 "
2018,11,NYS Labor Force," 9,542,679 "
2018,12,NYS Labor Force," 9,549,429 "
2019,1,NYS Labor Force," 9,547,462 "
2019,2,NYS Labor Force," 9,534,512 "
2019,3,NYS Labor Force," 9,514,746 "
2019,4,NYS Labor Force," 9,495,586 "
2019,5,NYS Labor Force," 9,483,005 "
2019,6,NYS Labor Force," 9,480,192 "
2019,7,NYS Labor Force," 9,488,460 "
2019,8,NYS Labor Force," 9,501,909 "
2019,9,NYS Labor Force," 9,516,997 "
2019,10,NYS Labor Force," 9,527,899 "
2019,11,NYS Labor Force," 9,529,070 "
2019,12,NYS Labor Force," 9,527,712 "
2020,1,NYS Labor Force," 9,542,921 "
2020,2,NYS Labor Force," 9,551,655 "
2020,3,NYS Labor Force," 9,411,433 "
2020,4,NYS Labor Force," 9,084,012 "
2020,5,NYS Labor Force," 9,089,160 "
2020,6,NYS Labor Force," 9,379,581 "
2020,7,NYS Labor Force," 9,580,264 "
2020,8,NYS Labor Force," 9,496,930 "
2020,9,NYS Labor Force," 9,134,041 "
1976,1,NYS Employed," 6,896,554 "
1976,2,NYS Employed," 6,895,390 "
1976,3,NYS Employed," 6,897,998 "
1976,4,NYS Employed," 6,906,874 "
1976,5,NYS Employed," 6,917,563 "
1976,6,NYS Employed," 6,926,350 "
1976,7,NYS Employed," 6,928,065 "
1976,8,NYS Employed," 6,922,698 "
1976,9,NYS Employed," 6,912,814 "
1976,10,NYS Employed," 6,901,865 "
1976,11,NYS Employed," 6,894,001 "
1976,12,NYS Employed," 6,893,647 "
1977,1,NYS Employed," 6,903,917 "
1977,2,NYS Employed," 6,923,761 "
1977,3,NYS Employed," 6,948,749 "
1977,4,NYS Employed," 6,975,580 "
1977,5,NYS Employed," 7,001,075 "
1977,6,NYS Employed," 7,022,585 "
1977,7,NYS Employed," 7,040,877 "
1977,8,NYS Employed," 7,058,488 "
1977,9,NYS Employed," 7,076,707 "
1977,10,NYS Employed," 7,095,195 "
1977,11,NYS Employed," 7,113,136 "
1977,12,NYS Employed," 7,128,771 "
1978,1,NYS Employed," 7,143,545 "
1978,2,NYS Employed," 7,158,808 "
1978,3,NYS Employed," 7,174,491 "
1978,4,NYS Employed," 7,189,887 "
1978,5,NYS Employed," 7,205,741 "
1978,6,NYS Employed," 7,223,321 "
1978,7,NYS Employed," 7,242,277 "
1978,8,NYS Employed," 7,262,302 "
1978,9,NYS Employed," 7,284,730 "
1978,10,NYS Employed," 7,310,842 "
1978,11,NYS Employed," 7,338,896 "
1978,12,NYS Employed," 7,363,972 "
1979,1,NYS Employed," 7,381,316 "
1979,2,NYS Employed," 7,391,227 "
1979,3,NYS Employed," 7,396,959 "
1979,4,NYS Employed," 7,401,466 "
1979,5,NYS Employed," 7,407,580 "
1979,6,NYS Employed," 7,415,310 "
1979,7,NYS Employed," 7,425,317 "
1979,8,NYS Employed," 7,437,082 "
1979,9,NYS Employed," 7,448,242 "
1979,10,NYS Employed," 7,456,960 "
1979,11,NYS Employed," 7,461,673 "
1979,12,NYS Employed," 7,460,829 "
1980,1,NYS Employed," 7,452,203 "
1980,2,NYS Employed," 7,434,606 "
1980,3,NYS Employed," 7,409,844 "
1980,4,NYS Employed," 7,382,931 "
1980,5,NYS Employed," 7,359,185 "
1980,6,NYS Employed," 7,344,270 "
1980,7,NYS Employed," 7,339,732 "
1980,8,NYS Employed," 7,343,684 "
1980,9,NYS Employed," 7,352,626 "
1980,10,NYS Employed," 7,362,102 "
1980,11,NYS Employed," 7,372,157 "
1980,12,NYS Employed," 7,386,605 "
1981,1,NYS Employed," 7,405,176 "
1981,2,NYS Employed," 7,424,294 "
1981,3,NYS Employed," 7,441,190 "
1981,4,NYS Employed," 7,451,699 "
1981,5,NYS Employed," 7,452,784 "
1981,6,NYS Employed," 7,445,355 "
1981,7,NYS Employed," 7,431,197 "
1981,8,NYS Employed," 7,413,239 "
1981,9,NYS Employed," 7,395,151 "
1981,10,NYS Employed," 7,379,824 "
1981,11,NYS Employed," 7,365,850 "
1981,12,NYS Employed," 7,352,769 "
1982,1,NYS Employed," 7,343,565 "
1982,2,NYS Employed," 7,339,090 "
1982,3,NYS Employed," 7,336,760 "
1982,4,NYS Employed," 7,334,993 "
1982,5,NYS Employed," 7,331,849 "
